playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,IBB,HBP,SH,SF,GIDP
aasedo01,1990,1,LAN,NL,32,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
abbotji01,1990,1,CAL,AL,33,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
abbotpa01,1990,1,MIN,AL,7,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
abnersh01,1990,1,SDN,NL,91,184,17,45,9,0,1,15,2,3,9,28,0.245,1,2,2,1,3
ackerji01,1990,1,TOR,AL,59,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
adkinst01,1990,1,NYA,AL,5,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
afenitr01,1990,1,OAK,AL,14,14,0,2,0,0,0,2,0,0,0,6,0.143,0,0,0,1,0
agostju01,1990,1,HOU,NL,82,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aguilri01,1990,1,MIN,AL,56,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
akerfda01,1990,1,PHI,NL,71,6,0,1,0,0,0,0,0,0,0,3,0.167,0,0,0,0,0
aldremi01,1990,1,MON,NL,96,161,22,39,7,1,1,18,1,2,37,31,0.242,2,1,0,1,2
aldresc01,1990,1,DET,AL,4,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
aldrija01,1990,1,BAL,AL,7,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
alexage01,1990,1,TEX,AL,3,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
allrebe01,1990,1,CLE,AL,4,16,2,3,1,0,1,2,0,0,2,3,0.188,0,0,0,0,0
alomaro01,1990,1,SDN,NL,147,586,80,168,27,5,6,60,24,7,48,72,0.287,1,2,5,5,16
alomasa02,1990,1,CLE,AL,132,445,60,129,26,2,9,66,4,1,25,46,0.29,2,2,5,6,10
aloumo01,1990,1,PIT,NL,2,5,0,1,0,0,0,0,0,0,0,0,0.2,0,0,0,0,1
aloumo01,1990,2,MON,NL,14,15,4,3,0,1,0,0,0,0,0,3,0.2,0,0,1,0,0
anderal02,1990,1,MIN,AL,31,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
anderbr01,1990,1,BAL,AL,89,234,24,54,5,2,3,24,15,2,31,46,0.231,2,5,4,5,4
anderda02,1990,1,SFN,NL,60,100,14,35,5,1,1,6,1,2,3,20,0.35,0,0,1,0,2
anderke01,1990,1,CAL,AL,49,143,16,44,6,1,1,5,0,2,13,19,0.308,1,1,4,0,4
anderla02,1990,1,HOU,NL,50,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
anderla02,1990,2,BOS,AL,15,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
andersc01,1990,1,MON,NL,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0
anthoer01,1990,1,HOU,NL,84,239,26,46,8,0,10,29,5,0,29,78,0.192,3,2,1,6,4
appieke01,1990,1,KCA,AL,32,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
aquinlu01,1990,1,KCA,AL,20,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
armstja01,1990,1,CIN,NL,29,47,2,5,0,0,0,3,0,0,0,21,0.106,0,2,13,0,2
arnsbbr01,1990,1,TEX,AL,53,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
assenpa01,1990,1,CHN,NL,74,8,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0
augusdo01,1990,1,ML4,AL,5,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
averyst01,1990,1,ATL,NL,21,30,1,4,0,0,0,0,0,0,0,7,0.133,0,0,2,0,1
azocaos01,1990,1,NYA,AL,65,214,18,53,8,0,5,19,7,0,2,15,0.248,0,1,0,1,1
backmwa01,1990,1,PIT,NL,104,315,62,92,21,3,2,28,6,3,42,53,0.292,1,1,0,3,5
baergca01,1990,1,CLE,AL,108,312,46,81,17,2,7,47,0,2,16,57,0.26,2,4,1,5,4
baezke01,1990,1,NYN,NL,5,12,0,2,1,0,0,0,0,0,0,0,0.167,0,0,0,0,2
bailema01,1990,1,SFN,NL,5,7,1,1,0,0,1,3,0,0,0,2,0.143,0,0,0,0,0
bailesc01,1990,1,CAL,AL,27,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
baineha01,1990,1,TEX,AL,103,321,41,93,10,1,13,44,0,1,47,63,0.29,9,0,0,3,13
baineha01,1990,2,OAK,AL,32,94,11,25,5,0,3,21,0,2,20,17,0.266,1,0,0,4,4
bairdo01,1990,1,PIT,NL,22,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
bakerdo01,1990,1,MIN,AL,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
balbost01,1990,1,NYA,AL,116,266,24,51,6,0,17,34,0,0,35,91,0.192,2,3,1,2,4
baldwje01,1990,1,HOU,NL,7,8,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
ballaje01,1990,1,BAL,AL,44,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
balleja01,1990,1,KCA,AL,3,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
bankhsc01,1990,1,SEA,AL,4,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
barfije01,1990,1,NYA,AL,153,476,69,117,21,2,25,78,4,3,82,150,0.246,4,5,2,5,6
barfijo01,1990,1,TEX,AL,33,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
barnebr01,1990,1,MON,NL,4,9,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0
barrema02,1990,1,BOS,AL,62,159,15,36,4,0,0,13,4,0,15,13,0.226,1,1,11,2,4
basske01,1990,1,SFN,NL,61,214,25,54,9,1,7,32,2,2,14,26,0.252,3,2,2,1,5
batesbi01,1990,1,ML4,AL,14,29,6,3,1,0,0,2,4,0,4,7,0.103,0,0,1,1,0
batesbi01,1990,2,CIN,NL,8,5,2,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0
bathebi01,1990,1,SFN,NL,52,48,3,11,0,1,3,12,0,0,7,12,0.229,2,0,0,1,2
bautijo01,1990,1,BAL,AL,22,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
bearske01,1990,1,CLE,AL,3,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
bedrost01,1990,1,SFN,NL,68,4,0,2,0,0,0,1,0,0,0,1,0.5,0,0,0,0,0
belchke01,1990,1,TEX,AL,16,15,4,2,1,0,0,0,0,0,2,6,0.133,0,0,0,0,0
belchti01,1990,1,LAN,NL,24,43,5,7,1,0,0,1,0,0,0,15,0.163,0,2,9,0,1
